Child	Child Id	Mother	Mother Id	Father	Father Id	Pedigree Conflict Score
TMS14F1285P0017	84555	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0419742517899231
TMS14F1291P0001	84497	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0434000755992351
TMS14F1291P0008	84713	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0457542135456042
TMS14F1291P0016	84617	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.040859718948726
TMS14F1291P0017	84935	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0434667808066883
TMS14F1291P0018	84493	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0425495842042068
TMS14F1291P0020	84567	IITA-TMS-IBA961632	68669	IITA-TMS-IBA961632	68669	0.0406040156534887
TMS14F1298P0012	77733	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0479943967625739
TMS14F1298P0013	78551	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0480277493663005
TMS14F1298P0016	76643	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0477915017565704
TMS14F1298P0017	78455	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0447230622137235
TMS14F1298P0018	77321	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0484279806110197
TMS14F1299P0008	77399	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.047969382309779
TMS14F1299P0012	77629	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0490005336416596
TMS14F1299P0013	78779	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0448147818739716
TMS14F1299P0016	77141	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0472634188642327
